trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12266F3517853:2024-11-29T10:03:28Z,17:46:00,17:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F3517853:2024-11-29T10:03:28Z,19:55:00,19:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12266F3521141:2024-12-07T00:26:03Z,17:46:00,17:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F3521141:2024-12-07T00:26:03Z,19:49:00,19:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12266F3642792:2024-12-07T00:26:03Z,17:46:00,17:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12266F3642792:2024-12-07T00:26:03Z,19:55:00,19:55:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12267F3517343:2024-11-29T10:03:28Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3517343:2024-11-29T10:03:28Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3517344:2024-11-29T10:03:28Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3517344:2024-11-29T10:03:28Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3517345:2024-11-29T10:03:28Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3517345:2024-11-29T10:03:28Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3518991:2024-11-29T10:03:28Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3518991:2024-11-29T10:03:28Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F3518992:2024-12-20T00:22:47Z,17:11:00,17:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12267F3518992:2024-12-20T00:22:47Z,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12268F2080214:2024-12-05T00:26:54Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F2080214:2024-12-05T00:26:54Z,14:58:00,14:58:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12268F3515326:2024-12-17T00:21:46Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3515326:2024-12-17T00:21:46Z,14:49:00,14:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12268F3515327:2024-12-06T00:26:17Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3515327:2024-12-06T00:26:17Z,14:49:00,14:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12268F3517334:2024-12-14T00:25:12Z,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F3517334:2024-12-14T00:25:12Z,14:58:00,14:58:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12271F3517312:2024-12-14T00:25:12Z,18:11:00,18:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12271F3517312:2024-12-14T00:25:12Z,20:14:00,20:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12271F3517313:2024-12-05T00:26:54Z,18:11:00,18:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12271F3517313:2024-12-05T00:26:54Z,20:14:00,20:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12273F3514636:2024-12-05T00:26:54Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12273F3514636:2024-12-05T00:26:54Z,21:14:00,21:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12273F3525653:2024-12-14T00:25:12Z,19:07:00,19:07:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12273F3525653:2024-12-14T00:25:12Z,21:14:00,21:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12275F3527908:2024-12-17T00:21:46Z,15:15:00,15:15:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12275F3527908:2024-12-17T00:21:46Z,17:18:00,17:18:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12276F3517300:2024-12-20T00:22:47Z,06:46:00,06:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F3517300:2024-12-20T00:22:47Z,08:50:00,08:50:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12276F3524085:2024-11-29T10:03:28Z,06:44:00,06:44:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F3524085:2024-11-29T10:03:28Z,08:56:00,08:56:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12276F3524087:2024-11-29T10:03:28Z,06:46:00,06:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F3524087:2024-11-29T10:03:28Z,08:56:00,08:56:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12276F3524808:2024-11-29T10:03:28Z,06:46:00,06:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F3524808:2024-11-29T10:03:28Z,08:56:00,08:56:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12276F3635986:2024-12-11T00:26:38Z,06:44:00,06:44:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F3635986:2024-12-11T00:26:38Z,08:56:00,08:56:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12278F3515249:2024-12-20T00:22:47Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12278F3515249:2024-12-20T00:22:47Z,20:42:00,20:45:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12278F3515249:2024-12-20T00:22:47Z,20:54:00,20:54:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12278F3579940:2024-11-29T10:03:28Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12278F3579940:2024-11-29T10:03:28Z,20:48:00,20:51:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12278F3579940:2024-11-29T10:03:28Z,21:00:00,21:00:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12278F3579941:2024-11-29T10:03:28Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12278F3579941:2024-11-29T10:03:28Z,20:48:00,20:51:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12278F3579941:2024-11-29T10:03:28Z,21:00:00,21:00:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12294F3516318:2024-12-20T00:22:47Z,20:57:00,20:57:00,StopPoint:OCETGV INOUI-87575001,0,,0,1,
OCESN12294F3516318:2024-12-20T00:22:47Z,22:16:00,22:16:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12294F3517298:2024-11-29T10:03:28Z,20:57:00,20:57:00,StopPoint:OCETGV INOUI-87575001,0,,0,1,
OCESN12294F3517298:2024-11-29T10:03:28Z,22:25:00,22:25:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12294F3517299:2024-11-29T10:03:28Z,20:57:00,20:57:00,StopPoint:OCETGV INOUI-87575001,0,,0,1,
OCESN12294F3517299:2024-11-29T10:03:28Z,22:25:00,22:25:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12294F3518139:2024-11-29T10:03:28Z,20:57:00,20:57:00,StopPoint:OCETGV INOUI-87575001,0,,0,1,
OCESN12294F3518139:2024-11-29T10:03:28Z,22:22:00,22:22:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12295F3511848:2024-12-17T00:21:46Z,19:19:00,19:19:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12295F3511848:2024-12-17T00:21:46Z,20:19:00,20:23:00,StopPoint:OCETGV INOUI-87571240,1,,0,0,
OCESN12295F3511848:2024-12-17T00:21:46Z,20:54:00,20:54:00,StopPoint:OCETGV INOUI-87575001,2,,1,0,
OCESN12295F3517296:2024-11-29T10:03:28Z,19:27:00,19:27:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12295F3517296:2024-11-29T10:03:28Z,20:52:00,20:52:00,StopPoint:OCETGV INOUI-87575001,1,,1,0,
OCESN12295F3520975:2024-11-29T10:03:28Z,19:15:00,19:15:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12295F3520975:2024-11-29T10:03:28Z,20:11:00,20:14:00,StopPoint:OCETGV INOUI-87571240,1,,0,0,
OCESN12295F3520975:2024-11-29T10:03:28Z,20:53:00,20:53:00,StopPoint:OCETGV INOUI-87575001,2,,1,0,
OCESN12297F3517647:2024-11-29T10:03:28Z,21:44:00,21:44:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12297F3517647:2024-11-29T10:03:28Z,23:03:00,23:03:00,StopPoint:OCETGV INOUI-87575001,1,,1,0,
OCESN12297F3520539:2024-11-29T10:03:28Z,21:44:00,21:44:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12297F3520539:2024-11-29T10:03:28Z,22:41:00,22:45:00,StopPoint:OCETGV INOUI-87571240,1,,0,0,
OCESN12297F3520539:2024-11-29T10:03:28Z,23:21:00,23:21:00,StopPoint:OCETGV INOUI-87575001,2,,1,0,
OCESN12297F3520540:2024-11-29T10:03:28Z,21:42:00,21:42:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12297F3520540:2024-11-29T10:03:28Z,22:41:00,22:45:00,StopPoint:OCETGV INOUI-87571240,1,,0,0,
OCESN12297F3520540:2024-11-29T10:03:28Z,23:21:00,23:21:00,StopPoint:OCETGV INOUI-87575001,2,,1,0,
OCESN12297F3529075:2024-12-17T00:21:46Z,21:48:00,21:48:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12297F3529075:2024-12-17T00:21:46Z,22:45:00,22:49:00,StopPoint:OCETGV INOUI-87571240,1,,0,0,
OCESN12297F3529075:2024-12-17T00:21:46Z,23:20:00,23:20:00,StopPoint:OCETGV INOUI-87575001,2,,1,0,
OCESN12297F3529076:2024-11-29T10:03:28Z,21:48:00,21:48:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12297F3529076:2024-11-29T10:03:28Z,22:45:00,22:49:00,StopPoint:OCETGV INOUI-87571240,1,,0,0,
OCESN12297F3529076:2024-11-29T10:03:28Z,23:20:00,23:20:00,StopPoint:OCETGV INOUI-87575001,2,,1,0,
OCESN12297F3654368:2024-11-29T10:03:28Z,21:48:00,21:48:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12297F3654368:2024-11-29T10:03:28Z,22:45:00,22:49:00,StopPoint:OCETGV INOUI-87571240,1,,0,0,
OCESN12297F3654368:2024-11-29T10:03:28Z,23:20:00,23:20:00,StopPoint:OCETGV INOUI-87575001,2,,1,0,
OCESN2022F3519766:2024-12-20T00:22:47Z,08:20:00,08:20:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
