GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;IDGAIA;RG_TRONCON;LIBELLE;LIB_GARE;PK;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
E71BDFE8666711E3A7FF01F464E0362D;132539;912000;Ligne de Livron à Aspres-sur-Buëch;e71bdfe8-6667-11e3-a7ff-01f464e0362d;1;;Die;053+849;886944.8924999982;6409379.1658000015;5.362579975522965;44.75837755770769;44.75837755770769, 5.362579975522965;44.75837755768744, 5.362579975522967;"{""coordinates"": [5.362579975522967, 44.75837755768744], ""type"": ""Point""}"
E6578F02666711E3A7FF01F464E0362D;127203;790000;Ligne de St-Germain-des-Fossés à Nîmes-CRB1;e6578f02-6667-11e3-a7ff-01f464e0362d;1;;Chapeauroux;567+862;758638.5898000002;6415683.8741;3.742013580195539;44.8378407627591;44.8378407627591, 3.742013580195539;44.83784076273907, 3.742013580195539;"{""coordinates"": [3.742013580195539, 44.83784076273907], ""type"": ""Point""}"
E725192A666711E3A7FF01F464E0362D;108908;468000;Ligne de Rennes à Redon;e725192a-6667-11e3-a7ff-01f464e0362d;1;;Fougeray-Langon;421+595;336588.62210000306;6747769.1798;-1.85113562171165;47.72981320741973;47.72981320741973, -1.8511356217116504;47.72981320740804, -1.8511356217116544;"{""coordinates"": [-1.851135621711654, 47.72981320740804], ""type"": ""Point""}"
E885BAF2666711E3A7FF01F464E0362D;109131;830000;Ligne de Paris-Lyon à Marseille-St-Charles;e885baf2-6667-11e3-a7ff-01f464e0362d;1;;Livron;634+333;844767.4554999992;6410627.1371;4.830132288298437;44.779689433736834;44.779689433736834, 4.830132288298437;44.77968943371665, 4.830132288298439;"{""coordinates"": [4.830132288298439, 44.77968943371665], ""type"": ""Point""}"
E8F5DB7C666711E3A7FF01F464E0362D;109354;538000;Ligne de St-Benoît à La Rochelle-Ville;e8f5db7c-6667-11e3-a7ff-01f464e0362d;1;;Pamproux;035+439;465592.48160000145;6593402.890900001;-0.051722419679964;46.39980312130991;46.39980312130991, -0.05172241967996381;46.39980312129432, -0.0517224196799658;"{""coordinates"": [-0.051722419679966, 46.39980312129432], ""type"": ""Point""}"
E67D200C666711E3A7FF01F464E0362D;108854;301000;Ligne d'Arras à Dunkerque-Locale;e67d200c-6667-11e3-a7ff-01f464e0362d;1;;Dunkerque;304+839;655647.9340000004;7103904.938000001;2.369189693600089;51.02926760373617;51.02926760373617, 2.3691896936000885;51.02926760372418, 2.369189693600088;"{""coordinates"": [2.369189693600088, 51.02926760372418], ""type"": ""Point""}"
E71A19DC666711E3A7FF01F464E0362D;109213;722000;Ligne de Béziers à Neussargues;e71a19dc-6667-11e3-a7ff-01f464e0362d;1;;Millau;549+397;705965.8685000017;6333742.701099999;3.074515864102667;44.10266264017864;44.10266264017864, 3.0745158641026666;44.10266264015666, 3.0745158641026666;"{""coordinates"": [3.074515864102667, 44.10266264015666], ""type"": ""Point""}"
E6C2A51A666711E3A7FF01F464E0362D;109280;590000;Ligne des Aubrais-Orléans à Montauban-Ville-Bourbon;e6c2a51a-6667-11e3-a7ff-01f464e0362d;2;;Neuvy-Pailloux;249+200;613651.8425000012;6643338.440400001;1.866020530373801;46.88464239600489;46.88464239600489, 1.866020530373801;46.88464239599072, 1.8660205303738;"{""coordinates"": [1.8660205303738, 46.88464239599072], ""type"": ""Point""}"
E6BC8B24666711E3A7FF01F464E0362D;108759;900000;Ligne de Culoz à Modane (frontière);e6bc8b24-6667-11e3-a7ff-01f464e0362d;1;;Chamousset;166+865;950080.3165000007;6500419.516600002;6.206415374247897;45.55756795074874;45.55756795074874, 6.206415374247897;45.557567950730736, 6.2064153742479;"{""coordinates"": [6.2064153742479, 45.557567950730736], ""type"": ""Point""}"
E5B8FB48666711E3A7FF01F464E0362D;120817;736000;Ligne de Castelnaudary à Rodez;e5b8fb48-6667-11e3-a7ff-01f464e0362d;1;TVP  Voie 1-2-4;Albi;413+362;630784.246100001;6314107.371100001;2.138180925476402;43.92257109526919;43.92257109526919, 2.138180925476402;43.92257109524676, 2.138180925476401;"{""coordinates"": [2.138180925476401, 43.92257109524676], ""type"": ""Point""}"
E87F59CA666711E3A7FF01F464E0362D;132538;912000;Ligne de Livron à Aspres-sur-Buëch;e87f59ca-6667-11e3-a7ff-01f464e0362d;1;;Luc-en-Diois;073+609;894740.6542000026;6393576.897100002;5.454832629017519;44.61403808852461;44.61403808852461, 5.454832629017519;44.61403808850397, 5.45483262901752;"{""coordinates"": [5.45483262901752, 44.61403808850397], ""type"": ""Point""}"
E9BC3582666711E3A7FF01F464E0362D;135823;945000;Ligne de Nice à Breil-sur-Roya;e9bc3582-6667-11e3-a7ff-01f464e0362d;1;;Peille;016+797;1052423.569799997;6309039.3114;7.380267165366375;43.79237326077163;43.79237326077163, 7.380267165366375;43.79237326074885, 7.380267165366378;"{""coordinates"": [7.380267165366378, 43.79237326074885], ""type"": ""Point""}"
E6B31826666711E3A7FF01F464E0362D;109667;640000;Ligne de Bordeaux-St-Jean à Sète-Ville;e6b31826-6667-11e3-a7ff-01f464e0362d;1;;Villefranche-de-Lauragais;289+287;595861.9584000036;6256256.309999999;1.71514081987692;43.39780360986386;43.39780360986386, 1.71514081987692;43.39780360984012, 1.7151408198769194;"{""coordinates"": [1.715140819876919, 43.39780360984012], ""type"": ""Point""}"
